=== Game Log Started at 2026-09-06 08:26:23 ===
[2026-09-06 08:26:23.062] [INFO] [App] Application started
[2026-09-06 08:26:23.063] [INFO] [App] MainPage initialized
[2026-09-06 08:26:23.063] [INFO] [App] Monster encounters DISABLED for debugging
[2026-09-06 08:26:23.063] [INFO] [Test] Logging system test started
[2026-09-06 08:26:23.064] [StairTransition] Level change via stairs | { fromLevel = 0, toLevel = 1, fromTile = { X = 32, Y = 32 }, toTile = { X = 32, Y = 32 }, stairType = 2 }
[2026-09-06 08:26:23.065] [MovementBlock] Player movement blocked | { position = { X = 128, Y = 128 }, direction = north, reason = Tile not walkable }
[2026-09-06 08:26:23.065] [WallClearing] Walls cleared around tile | { tileX = 32, tileY = 32, level = 1, wallsCleared = 4 }
[2026-09-06 08:26:23.066] [PlayerMovement] Test move | { From = { X = 32, Y = 32 }, To = { X = 33, Y = 32 } }
[2026-09-06 08:26:23.066] [WARNING] [Test] This is a warning message
[2026-09-06 08:26:23.066] [ERROR] [Test] This is an error message
[2026-09-06 08:26:23.066] [INFO] [Test] Logging system test completed
[2026-09-06 08:27:09.284] [INFO] [PlayerState] Player stats updated | { name = Mr. Sinister, stamina = 255, strength = 255, intelligence = 255 }
[2026-09-06 08:27:11.977] [PlayerMovement] Movement | [2026-09-06T15:27:11.636Z] [MOVE] Movement successful: (0.00, -11.10)
[2026-09-06 08:27:11.977] [PlayerMovement] Movement | [2026-09-06T15:27:11.653Z] [MOVE] Movement successful: (0.00, -11.40)
[2026-09-06 08:27:11.977] [PlayerMovement] Movement | [2026-09-06T15:27:11.669Z] [MOVE] Movement successful: (0.00, -11.70)
[2026-09-06 08:27:11.978] [PlayerMovement] Movement | [2026-09-06T15:27:11.686Z] [MOVE] Movement successful: (0.00, -12.00)
[2026-09-06 08:27:11.978] [PlayerMovement] Movement | [2026-09-06T15:27:11.703Z] [MOVE] Movement successful: (0.00, -12.30)
[2026-09-06 08:27:11.978] [PlayerMovement] Movement | [2026-09-06T15:27:11.719Z] [MOVE] Movement successful: (0.00, -12.60)
[2026-09-06 08:27:11.978] [PlayerMovement] Movement | [2026-09-06T15:27:11.736Z] [MOVE] Movement successful: (0.00, -12.90)
[2026-09-06 08:27:11.978] [PlayerMovement] Movement | [2026-09-06T15:27:11.753Z] [MOVE] Movement successful: (0.00, -13.20)
[2026-09-06 08:27:11.978] [PlayerMovement] Movement | [2026-09-06T15:27:11.770Z] [MOVE] Movement successful: (0.00, -13.50)
[2026-09-06 08:27:11.978] [PlayerMovement] Movement | [2026-09-06T15:27:11.786Z] [MOVE] Movement successful: (0.00, -13.80)
